<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20201112,153000,119.62,119.84,118.81,119.28,4148491,0
AAPL.US,5,20201112,153500,119.29,120.05,118.985,119.821,1459891,0
AAPL.US,5,20201112,154000,119.85,120.02,119.59,119.7,1543000,0
AAPL.US,5,20201112,154500,119.7,119.82,119.08,119.1,1802648,0
AAPL.US,5,20201112,155000,119.11,119.52,119.03,119.46,1131077,0
AAPL.US,5,20201112,155500,119.47,119.75,119.3,119.72,1158550,0
AAPL.US,5,20201112,160000,119.73,119.89,119.5,119.878,1259570,0
AAPL.US,5,20201112,160500,119.875,120.02,119.75,119.85,1164466,0
AAPL.US,5,20201112,161000,119.86,120.17,119.67,120.098,1370090,0
AAPL.US,5,20201112,161500,120.09,120.15,119.88,119.934,1273983,0
AAPL.US,5,20201112,162000,119.931,120.17,119.82,119.9,1073005,0
AAPL.US,5,20201112,162500,119.91,120.07,119.76,119.99,1130487,0
AAPL.US,5,20201112,163000,119.985,120.21,119.96,120.105,1128121,0
AAPL.US,5,20201112,163500,120.105,120.36,120.08,120.27,1480789,0
AAPL.US,5,20201112,164000,120.271,120.53,120.23,120.43,1627434,0
AAPL.US,5,20201112,164500,120.42,120.5,120.23,120.36,1068441,0
AAPL.US,5,20201112,165000,120.37,120.5,120.13,120.17,985234,0
AAPL.US,5,20201112,165500,120.17,120.29,120.14,120.21,837026,0
AAPL.US,5,20201112,170000,120.22,120.45,120.215,120.405,951404,0
AAPL.US,5,20201112,170500,120.407,120.52,120.25,120.28,1017253,0
AAPL.US,5,20201112,171000,120.28,120.3,119.86,119.865,1497865,0
AAPL.US,5,20201112,171500,119.87,120,119.8,119.961,1044335,0
AAPL.US,5,20201112,172000,119.965,120.01,119.78,119.87,767574,0
AAPL.US,5,20201112,172500,119.87,119.9,119.65,119.86,833016,0
AAPL.US,5,20201112,173000,119.865,119.88,119.51,119.565,873762,0
AAPL.US,5,20201112,173500,119.565,119.63,119.35,119.36,1164495,0
AAPL.US,5,20201112,174000,119.369,119.369,119.03,119.14,1292195,0
AAPL.US,5,20201112,174500,119.14,119.4,119.09,119.29,985475,0
AAPL.US,5,20201112,175000,119.295,119.58,119.23,119.572,906746,0
AAPL.US,5,20201112,175500,119.57,119.65,119.49,119.6,906236,0
AAPL.US,5,20201112,180000,119.595,119.82,119.51,119.76,1048676,0
AAPL.US,5,20201112,180500,119.765,119.95,119.75,119.89,912908,0
AAPL.US,5,20201112,181000,119.89,120.205,119.85,120.13,1391549,0
AAPL.US,5,20201112,181500,120.12,120.13,119.86,119.97,918404,0
AAPL.US,5,20201112,182000,119.98,120.13,119.73,119.793,841727,0
AAPL.US,5,20201112,182500,119.8,120.2,119.65,119.655,2763235,0
AAPL.US,5,20201112,183000,119.651,120.07,119.6,119.979,820643,0
AAPL.US,5,20201112,183500,119.97,120.03,119.82,119.835,648642,0
AAPL.US,5,20201112,184000,119.84,119.89,119.533,119.639,804610,0
AAPL.US,5,20201112,184500,119.64,119.675,119.19,119.27,1040679,0
AAPL.US,5,20201112,185000,119.268,119.445,118.97,119.36,1571055,0
AAPL.US,5,20201112,185500,119.36,119.58,119.289,119.49,862743,0
AAPL.US,5,20201112,190000,119.48,119.495,119.27,119.4,605564,0
AAPL.US,5,20201112,190500,119.391,119.43,119.225,119.379,513196,0
AAPL.US,5,20201112,191000,119.375,119.385,119.07,119.36,815247,0
AAPL.US,5,20201112,191500,119.36,119.46,119.15,119.239,779499,0
AAPL.US,5,20201112,192000,119.23,119.33,119.01,119.04,926527,0
AAPL.US,5,20201112,192500,119.045,119.23,118.88,118.945,1177988,0
AAPL.US,5,20201112,193000,118.94,119.12,118.68,118.98,1258155,0
AAPL.US,5,20201112,193500,118.98,119.14,118.925,119,758388,0
AAPL.US,5,20201112,194000,118.995,119.05,118.83,118.9,690202,0
AAPL.US,5,20201112,194500,118.91,118.95,118.57,118.623,821264,0
AAPL.US,5,20201112,195000,118.625,119.08,118.61,118.995,1097271,0
AAPL.US,5,20201112,195500,119.008,119.19,118.995,119.135,628280,0
AAPL.US,5,20201112,200000,119.13,119.29,118.99,119.265,877284,0
AAPL.US,5,20201112,200500,119.27,119.29,118.99,119.025,783420,0
AAPL.US,5,20201112,201000,119.03,119.06,118.72,118.76,754542,0
AAPL.US,5,20201112,201500,118.76,118.89,118.7,118.83,729943,0
AAPL.US,5,20201112,202000,118.821,119,118.7,118.805,684650,0
AAPL.US,5,20201112,202500,118.8,118.99,118.8,118.883,499441,0
AAPL.US,5,20201112,203000,118.88,119.165,118.748,118.881,863131,0
AAPL.US,5,20201112,203500,118.89,118.914,118.76,118.87,488435,0
AAPL.US,5,20201112,204000,118.875,118.88,118.58,118.67,779318,0
